date,value
2021-01-13,0.12122300642203468
2021-01-29,0.1144833287270505
2021-02-14,0.11421766654918791
2021-03-02,0.11612432943897691
2021-03-18,0.11962498280489944
2021-04-03,0.11173850980971904
2021-04-19,0.13398637938921543
2021-05-05,0.14260773782780453
2021-05-21,0.1603403589364606
2021-06-06,0.17081463246711093
2021-06-22,0.17838671705554884
2021-07-24,0.1295777697715959
2021-08-09,0.19468389541707365
2021-08-25,0.1703707114997751
2021-09-10,0.17462587904791516
2021-10-12,0.18269701270809524
2021-10-28,0.1810931984634952
2021-11-29,0.0657368070018844
2021-12-15,0.14669036844263136
